Im	0 Desc.	Im.1	1 Asc.
14.711389000000002	84.459459	4.747259	83.263947
14.68909	90.211998	4.822476999999999	80.87343299999999
14.636754000000002	84.068937	4.8981959999999996	85.142614
14.556314000000002	88.691796	4.940461	78.957758
14.4628	56.038106000000006	5.031614	84.96176700000001
14.160698000000002	16.065547	5.057391	94.11764699999999
14.023832	41.597338	5.127985	94.87666
13.927045000000001	60.734892	5.178104	100.351229
13.907764000000002	174.978128	5.240927	103.14595200000001
13.828018	79.840319	5.295308	94.07337700000001
13.724054	42.016807	5.33098	107.009096
13.375407000000001	12.979428	5.368661	99.800399
13.334429	161.4205	5.417822	114.547537
13.041235	18.641066	5.463637	103.573278
12.80735	21.915407000000002	5.5558510000000005	117.78563
11.880711	5.5286800000000005	5.552576999999999	111.48272
11.889204	221.975583	5.6216099999999996	110.132159
11.848809	176.99115	5.674832	114.744693
11.797571000000001	72.020166	5.695012	118.20331000000002
11.752129	187.617261	5.750903	116.754232
11.717378	145.243282	5.791104	119.18951100000001
11.690316000000001	157.728707	5.834501	121.80268000000001
11.635863	151.630023	5.846211	127.55102
11.605127	152.55530100000001	5.899069	121.80268000000001
11.595014	156.617071	5.961546	122.92563
11.544347	132.18770700000002	6.001424	124.45550700000001
11.500812	160.901046	6.024534	134.680135
11.478803	151.860289	6.045774	123.99256000000001
11.464948	156.494523	6.105243	127.145582
11.436744000000001	163.800164	6.161580000000001	129.87013000000002
11.394159	158.227848	6.200117	139.37282199999999
11.289418	70.62146899999999	6.1962589999999995	127.795527
11.277782	202.224469	6.253285	134.31833400000002
11.183624	49.517207	6.323364	136.23978200000002
11.17906	204.918033	6.3484110000000005	134.228188
11.128741	155.400155	6.378523	136.612022
11.087645	152.55530100000001	6.407421	130.63357299999998
11.036555	143.575018	6.4218459999999995	140.350877
11.047797000000001	165.15276599999999	6.486296	130.97576899999999
11.016306	157.480315	6.5134739999999995	143.06151599999998
10.950465	143.88489199999998	6.553613	148.03849
10.922322	149.14243100000002	6.611775	130.718954
10.881169	149.25373100000002	6.639499000000001	148.920328
10.84884	156.739812	6.673845	132.362674
10.820896000000001	150.037509	6.680406	152.55530100000001
10.769892	149.588631	6.752981	142.959257
10.746628999999999	155.76324	6.792489999999999	143.266476
10.73179	144.092219	6.806653	138.88888899999998
10.682128	149.14243100000002	6.848346	154.67904099999998
10.672421	148.809524	6.838087	145.772595
10.616249	157.232704	6.9294839999999995	144.927536
10.597241	149.700599	6.952082000000001	149.925037
10.564003	143.06151599999998	6.967059	154.918668
10.538146000000001	157.728707	7.033931	144.61316000000002
10.504011	149.25373100000002	7.063046000000001	148.257969
10.481725	148.69888500000002	7.064699000000001	156.128025
10.418307	148.69888500000002	7.128184	143.781452
10.374666	137.551582	7.14268	155.884645
10.370942	156.494523	7.1997160000000004	156.372166
10.309997000000001	142.85714299999998	7.210201	144.61316000000002
10.294709	156.862745	7.266518	150.037509
10.230878	136.518771	7.280797	156.862745
10.207180000000001	149.25373100000002	7.309691	148.03849
10.170389	136.425648	7.349074000000001	165.56291399999998
10.158073	156.494523	7.394829	144.508671
