"Im"	"0 Desc."	"Im"	"1 Asc."
7.168942	99.304866	4.607137	27.103944
7.159075	95.978501	4.655515	37.713079
7.123675	98.318749	4.721912	38.503003
7.113953	98.755678	4.766570	29.184299
7.105306	94.912680	4.818566	62.656642
7.089611	97.285728	4.851626	54.809537
7.053746	93.923171	4.899336	37.365019
7.017924	95.356155	4.943019	74.973759
7.006371	96.135359	4.974322	60.879094
6.981143	93.466679	5.003764	66.880685
6.958793	90.826521	5.026608	66.304204
6.935701	95.620578	5.056734	68.292017
6.919062	94.688003	5.097249	71.808129
6.896973	93.527871	5.117827	67.109590
6.860628	92.387288	5.143898	69.608799
6.863011	91.240876	5.174096	75.204933
6.833278	91.124476	5.209467	72.663857
6.800828	93.170595	5.228678	73.551044
6.795393	88.613203	5.258745	75.443229
6.758176	91.257529	5.279483	75.013127
6.744734	87.458457	5.304798	76.651847
6.714783	88.362640	5.341303	77.065351
6.703331	85.859019	5.375352	75.734626
6.698216	90.637179	5.388620	76.347534
6.644752	87.343873	5.422102	76.417545
6.629101	88.605352	5.423148	82.447028
6.596999	84.452327	5.493992	80.186032
6.597915	87.100427	5.512143	79.732100
6.560567	85.149864	5.521022	79.872204
6.519746	80.502335	5.539551	81.188601
6.496931	86.288722	5.578570	81.195193
6.478693	81.247969	5.593916	81.466395
6.466123	84.724223	5.636451	83.305565
6.421596	81.175420	5.656477	84.345479
6.407180	81.373586	5.676996	85.748585
6.367725	82.795165	5.695016	83.354172
6.362581	79.289565	5.716248	84.175084
6.330537	81.274382	5.741301	80.677693
6.312576	78.039644	5.760295	86.236633
6.277960	79.302141	5.790943	84.395308
6.248823	77.845244	5.820065	86.565097
6.231544	73.806185	5.847967	87.496719
6.194371	75.369310	5.868123	84.940117
6.174040	76.440911	5.875738	93.353249
6.136867	72.732562	5.912781	83.201597
6.113543	77.525390	5.939244	89.055125
6.081732	73.904368	5.980108	88.558271
6.059527	72.249115	6.012907	85.954960
6.029547	74.990626	6.013678	88.152327
6.001180	66.769046	6.035113	95.274390
5.972595	72.469019	6.033427	89.726335
5.937631	70.264193	6.070528	88.833615
5.923549	67.576700	6.086019	89.174246
5.883978	67.426337	6.122742	94.616331
5.841442	67.681895	6.145310	91.008373
5.823946	69.550702	6.159174	91.600256
5.782892	63.143272	6.186930	89.341553
5.756865	62.916824	6.215806	98.483356
5.718631	61.158339	6.218930	91.877986
5.677723	42.455634	6.260608	93.388121
5.638646	66.343794	6.265855	94.011469
5.597534	39.963234	6.285081	94.939713
5.569342	67.672735	6.320437	90.424089
5.474694	22.828444	6.331831	94.029149
5.395769	29.908778	6.358265	93.248788
5.298375	21.611342	6.376706	99.453008
		6.395845	94.393053
		6.427888	99.561928
		6.457360	93.720712
		6.459263	96.320555
		6.505854	95.328885
		6.503470	93.896714
		6.521665	97.238429
		6.555234	99.245732
		6.571612	91.675834
		6.584865	97.040272
		6.622402	95.712098
		6.655971	94.777746
		6.688160	98.502758
		6.682187	94.912680
		6.701311	97.608590
		6.699858	99.324593
		6.740490	97.304661
		6.771763	96.767950
		6.796308	97.991181
		6.810622	97.580016
		6.824094	97.637180
		6.855323	98.794705
		6.882470	101.091791
		6.895229	99.870169
		6.926865	98.328417
		6.938506	99.098206
		6.960333	99.920064
		6.992129	99.720782
		6.993495	100.959112
		7.016064	96.758587
		7.043021	99.157164
		7.068089	100.150225
		7.074018	103.401923
		7.096572	99.760575
		7.121858	101.461039
		7.145269	98.280098
		7.152826	100.050025
