"Im"	"0 Desc."	"Im"	"1 Asc."
7.142785	50.173097	4.614092	14.590020
7.101363	50.774308	4.735130	17.791695
7.054929	48.754327	4.834010	20.158039
7.017976	48.633401	4.920288	22.294059
6.970994	48.351223	5.004411	23.527751
6.917955	47.614513	5.086114	26.308174
6.884968	46.941745	5.154193	28.903405
6.843292	47.849179	5.226519	30.039051
6.801425	46.399406	5.285778	31.085828
6.747572	44.373447	5.359608	31.957050
6.711151	44.610992	5.414219	33.101622
6.658676	44.589111	5.477735	34.327692
6.619156	43.453700	5.540140	34.659642
6.559805	42.034468	5.592902	34.410378
6.519854	41.414727	5.648904	35.951825
6.466063	41.464527	5.704542	35.919540
6.412247	40.425274	5.759381	37.212072
6.363146	39.651071	5.817683	38.544558
6.316308	39.561657	5.869305	39.794660
6.252996	38.887809	5.924976	40.513714
6.207149	37.565740	5.961723	40.643798
6.152939	37.460199	6.005745	41.619844
6.090282	35.580857	6.058198	41.848008
6.029047	34.764471	6.109905	43.211477
5.981958	33.729088	6.163028	44.595077
5.920894	32.125418	6.212384	43.867345
5.843228	31.356809	6.248904	44.150110
5.789081	30.604438	6.284541	44.824959
5.703972	29.014101	6.335232	45.911574
5.644622	28.318985	6.383532	44.539462
5.565047	28.432515	6.430990	46.427411
5.485925	26.688017	6.479321	45.649594
5.403880	24.256537	6.533557	47.103156
5.322433	22.474435	6.569888	46.431722
5.215601	20.528401	6.607821	47.185391
5.111741	18.170585	6.641131	48.699718
4.977979	15.670543	6.682689	47.862921
4.794220	11.530700	6.732497	49.227134
		6.773346	49.536831
		6.819458	48.842434
		6.858713	49.485352
		6.903102	50.602166
		6.940933	51.727705
		6.973490	51.503914
		7.019312	51.184931
		7.048243	50.492300
		7.096195	51.049058
		7.136662	52.985747
