"Im"	"0 Desc."	"Im"	"1 Asc."
6.156589	87.374399	3.227710	17.790429
6.139704	87.336245	3.261573	45.568467
6.124552	80.938891	3.307355	27.628125
6.119030	87.374399	3.305037	29.976019
6.108905	87.336245	3.346334	45.682960
6.127419	80.906149	3.375656	45.641260
6.091290	87.374399	3.427660	43.744532
6.060657	80.677693	3.410725	49.912653
6.063301	80.808081	3.466968	49.987503
6.035927	87.489064	3.430663	45.672528
6.045280	74.934432	3.491954	52.479664
6.013345	87.336245	3.491309	52.479664
6.019164	80.906149	3.536748	49.912653
5.994121	80.710250	3.531868	58.309038
5.981213	80.645161	3.550075	55.248619
5.998486	80.677693	3.566395	55.233361
5.950400	80.906149	3.574366	55.248619
5.985067	80.645161	3.666319	61.747453
5.936485	74.934432	3.622889	55.218112
5.931557	80.710250	3.639191	61.766523
5.889898	80.873433	3.660837	61.728395
5.895779	80.677693	3.691321	58.275058
5.874689	80.645161	3.700385	65.595277
5.861164	74.990626	3.684973	65.595277
5.839021	80.840744	3.724200	65.681445
5.825572	80.677693	3.753365	61.747453
5.799955	74.906367	3.768890	61.709349
5.817816	80.775444	3.793128	61.766523
5.799462	75.046904	3.750371	65.595277
5.792836	80.677693	3.820842	65.595277
5.768894	80.645161	3.830936	65.595277
5.762375	74.934432	3.834448	65.552278
5.750667	75.131480	3.831833	65.573770
5.736007	74.934432	3.891482	65.573770
5.698619	74.906367	3.877986	65.573770
5.695902	74.906367	3.945010	65.573770
5.674132	75.131480	3.918046	65.724614
5.695275	80.677693	3.933677	70.003500
5.673259	69.954530	3.943338	69.954530
5.648585	74.906367	3.987586	65.552278
5.628042	75.075075	3.976002	74.906367
5.620561	70.003500	4.009934	70.077085
5.621687	80.677693	4.010728	70.003500
5.608723	69.930070	4.027068	74.962519
5.590753	74.962519	4.038789	74.906367
5.583203	75.103267	4.058073	69.930070
5.542811	74.906367	4.067688	75.131480
5.527746	69.954530	4.089526	69.954530
5.509512	69.930070	4.074732	74.906367
5.528375	75.075075	4.103753	74.906367
5.514919	69.979006	4.130081	75.159714
5.485040	69.979006	4.150941	74.934432
5.488036	65.573770	4.127552	74.934432
5.460007	69.930070	4.161911	80.710250
5.438840	74.990626	4.189136	70.077085
5.420444	70.052539	4.183162	80.710250
5.416622	65.616798	4.210865	69.930070
5.413390	69.930070	4.214380	80.840744
5.383915	69.930070	4.238439	70.003500
5.350481	69.930070	4.251425	80.677693
5.361694	65.616798	4.243096	69.905627
5.348157	75.075075	4.292037	80.938891
5.332606	65.595277	4.276144	74.934432
5.312810	65.595277	4.284181	80.677693
5.294391	69.930070	4.326390	74.934432
5.268334	61.728395	4.299832	75.131480
5.286146	69.954530	4.340037	74.906367
5.244840	65.681445	4.349653	80.677693
5.233834	65.638333	4.371914	80.906149
5.246056	65.595277	4.364505	74.934432
5.194882	65.573770	4.386242	80.677693
5.174565	65.573770	4.391612	80.840744
5.191798	65.573770	4.419840	75.018755
5.163211	61.728395	4.450016	80.612656
5.157186	61.728395	4.441096	74.906367
5.127106	65.638333	4.467783	87.719298
5.072813	61.785604	4.466627	80.677693
5.090015	65.638333	4.473407	80.645161
5.052353	65.595277	4.496034	80.938891
5.068208	58.309038	4.521526	80.677693
5.031207	61.728395	4.568331	80.645161
5.021052	61.728395	4.499132	80.873433
5.013911	61.728395	4.549082	80.710250
4.991190	61.728395	4.541179	87.374399
4.995736	61.728395	4.567999	80.873433
4.940221	65.573770	4.554659	80.710250
4.978387	58.309038	4.571180	80.677693
4.932452	65.573770	4.600335	80.710250
4.914979	58.309038	4.600967	87.642419
4.838654	61.728395	4.626221	80.645161
4.855717	61.728395	4.652925	80.677693
4.840250	61.728395	4.638427	80.906149
4.820181	58.309038	4.674792	87.374399
4.798894	61.728395	4.663023	80.645161
4.800416	61.728395	4.697989	87.680842
4.762807	58.309038	4.685698	80.677693
4.779937	58.309038	4.681728	80.645161
4.747692	61.728395	4.741856	87.680842
4.735673	58.309038	4.736280	87.374399
4.700352	55.233361	4.758161	80.645161
4.683959	58.309038	4.760752	87.680842
4.694482	58.309038	4.766709	80.677693
4.649192	55.248619	4.804838	95.283468
4.631216	55.248619	4.801983	75.131480
4.605940	58.309038	4.848416	95.283468
4.598793	55.233361	4.818825	80.645161
4.583168	52.452137	4.876163	87.680842
4.551990	61.747453	4.841656	87.374399
4.517968	52.452137	4.881897	87.336245
4.532885	58.292043	4.873057	87.680842
4.499597	55.218112	4.903614	80.645161
4.482369	52.493438	4.892263	87.374399
4.464379	52.493438	4.915027	87.604030
4.433192	52.493438	4.913993	95.374344
4.410263	52.493438	4.943681	80.645161
4.396199	50.000000	4.930001	87.489064
4.369879	43.687200	4.955718	87.565674
4.352352	49.975012	4.977611	87.336245
4.337127	43.763676	4.993115	87.374399
4.331796	47.709924	4.982408	87.680842
4.272197	41.946309	5.016781	87.336245
4.246184	36.172906	5.012658	87.336245
4.200037	43.754102	5.023777	87.680842
4.190218	33.840948	5.041639	87.374399
4.136786	30.864198	5.070441	95.238095
4.134606	32.786885	5.053966	80.938891
4.095022	32.786885	5.085908	95.283468
