"Im"	"0 Desc."	"Im"	"1 Asc."
7.141557	53.061658	4.613482	14.856192
7.109436	50.533124	4.740232	17.690974
7.069692	50.970998	4.839210	19.880320
7.031710	49.922620	4.924957	22.497694
6.984806	49.500050	5.019464	24.434942
6.936119	48.405053	5.085760	26.386617
6.898849	47.555640	5.156018	29.515067
6.844490	47.384382	5.225895	30.590395
6.815037	46.302727	5.285159	31.588590
6.783945	46.561438	5.352757	32.400207
6.720347	44.978186	5.413146	33.715442
6.679056	44.694735	5.468102	34.368985
6.621835	44.286980	5.530228	35.191441
6.583826	43.003354	5.587096	36.911265
6.529784	41.414727	5.637505	38.066235
6.480233	40.953395	5.696218	38.017032
6.428075	40.648754	5.746581	39.433732
6.374764	40.371417	5.797433	40.485830
6.333053	38.477818	5.848398	40.919879
6.282831	37.914692	5.894850	42.714963
6.213523	37.519229	5.943670	42.188752
6.169113	37.210687	5.995382	42.981174
6.103904	36.185996	6.042186	42.071606
6.046413	35.045910	6.085973	43.641442
5.998477	33.613445	6.130473	45.337081
5.928507	33.504205	6.184138	44.925648
5.874274	32.684011	6.225187	46.620047
5.799533	31.489121	6.257757	45.928443
5.743604	30.373903	6.306031	44.724719
5.670597	28.605755	6.354728	47.147572
5.586668	27.190907	6.398589	47.872086
5.511725	26.459226	6.438117	46.974821
5.433237	25.335698	6.487120	46.689700
5.346209	23.728733	6.531550	47.794293
5.256083	22.317941	6.562738	48.171877
5.158652	20.649211	6.604930	47.474364
5.037395	18.119224	6.647995	47.621315
4.917240	16.515277	6.693548	49.329124
4.765570	12.684882	6.725172	49.512304
		6.781395	49.674631
		6.811797	50.499950
		6.856096	51.046452
		6.898670	51.408596
		6.936207	51.292573
		6.975910	51.289942
		7.017165	51.485352
		7.057176	54.954113
		7.094095	52.408155
		7.125536	53.327645
