"Im"	"0 Desc."	"Im"	"1 Asc."
7.160016	61.064973	4.462303	16.091140
7.109299	58.506904	4.560193	19.855847
7.077277	59.776436	4.645419	23.021848
7.054399	59.157596	4.730991	26.327568
7.012578	56.385678	4.814415	25.310048
6.973490	57.880419	4.878853	27.757731
6.941223	55.060015	4.942512	31.677648
6.896040	55.725829	5.013851	32.172962
6.864405	53.639436	5.069724	32.684011
6.832260	53.570472	5.137873	34.930837
6.790287	55.389387	5.195643	35.549236
6.753888	52.537564	5.250007	36.840554
6.709370	52.110474	5.303334	38.239455
6.672013	53.011026	5.353126	37.516413
6.639810	50.895765	5.400216	39.739310
6.594152	50.614972	5.451868	41.346233
6.550742	49.258657	5.509411	43.118317
6.493246	46.268450	5.548657	44.039283
6.464980	48.299845	5.584232	44.052863
6.428622	46.770497	5.644659	44.054804
6.377485	46.012976	5.686208	44.060627
6.335982	44.414835	5.730609	46.053238
6.284796	44.955943	5.770526	46.040516
6.236177	43.155533	5.813807	47.010154
6.188250	42.181634	5.859336	47.203210
6.136112	40.591005	5.904810	48.302178
6.081083	40.262512	5.946941	49.397352
6.044469	38.109756	5.988612	50.673964
5.973020	38.537131	6.031099	49.407115
5.918162	36.866359	6.070283	49.446203
5.870562	36.714763	6.107249	50.638039
5.811282	36.789052	6.152843	51.783957
5.751047	34.445937	6.194273	50.825921
5.704268	34.901578	6.229350	53.222630
5.629350	32.718231	6.267837	53.095466
5.571458	31.679655	6.309253	53.602058
5.502628	31.130343	6.347372	53.395985
5.433615	29.792939	6.383574	54.710581
5.360205	26.718679	6.420356	54.472165
5.280744	25.646286	6.451128	52.273915
5.209024	24.358756	6.478751	55.956578
5.109956	22.274691	6.528361	55.011552
4.992377	19.684652	6.559324	56.353903
4.895821	18.560796	6.586445	56.290459
4.762930	15.346368	6.626172	56.246133
		6.673954	57.786767
		6.705820	56.398398
		6.745724	57.756729
		6.786903	58.034937
		6.807930	59.410646
		6.846906	59.747864
		6.881986	59.428300
		6.915033	61.398662
		6.950392	59.467174
		6.975011	59.822924
		7.018836	59.794308
		7.048703	62.503906
		7.088136	59.980806
		7.109285	62.806180
		7.156375	59.808612
