"Im"	"0 Desc."	"Im"	"1 Asc."	"Im"	"2 All"
6.135878	84.083074	4.752751	19.211558	4.646362	0.000000
6.122508	77.106947	4.828871	26.237767	4.752751	19.211558
6.083860	81.592689	4.884150	32.032802	4.828871	26.237767
6.064989	77.291699	4.950228	34.359538	4.884150	32.032802
6.046205	73.507792	5.005171	41.298422	4.950228	34.359538
6.008592	77.453334	5.045410	44.318383	5.005171	41.298422
5.982979	85.719184	5.082001	47.872086	5.045410	44.318383
5.961226	73.926222	5.128392	50.375296	5.082001	47.872086
5.928147	75.431847	5.173387	54.794521	5.128392	50.375296
5.905581	73.399883	5.204568	56.967073	5.173387	54.794521
5.881407	77.525390	5.246494	54.815546	5.204568	56.967073
5.846679	71.715433	5.281744	59.210137	5.246494	54.815546
5.817385	70.259257	5.315805	56.899004	5.281744	59.210137
5.782979	72.155278	5.343733	59.094670	5.315805	56.899004
5.766450	66.454014	5.382923	61.557402	5.343733	59.094670
5.724677	72.217809	5.413477	66.098222	5.382923	61.557402
5.704176	67.019637	5.448528	61.050061	5.413477	66.098222
5.679296	71.849404	5.481270	68.629469	5.448528	61.050061
5.641855	62.786463	5.512510	65.487885	5.481270	68.629469
5.606765	65.642641	5.529374	70.086908	5.512510	65.487885
5.575276	62.810125	5.566298	64.184852	5.529374	70.086908
5.546564	61.572563	5.599936	65.763514	5.566298	64.184852
5.514356	58.051782	5.627646	69.998600	5.599936	65.763514
5.473854	56.808499	5.649525	71.926922	5.627646	69.998600
5.435187	55.564816	5.688299	71.828760	5.649525	71.926922
5.391762	56.173464	5.710932	71.746305	5.688299	71.828760
5.357879	54.887755	5.737326	71.916577	5.710932	71.746305
5.319187	49.485352	5.775795	73.426830	5.737326	71.916577
5.277860	49.421765	5.793679	77.519380	5.775795	73.426830
5.240832	45.756120	5.814564	75.443229	5.793679	77.519380
5.178450	40.163869	5.846989	75.392039	5.814564	75.443229
5.135667	40.816327	5.877956	77.351485	5.846989	75.392039
5.065806	32.106852	5.903074	73.405270	5.877956	77.351485
5.003428	31.386334	5.921686	77.375426	5.903074	73.405270
4.875031	17.148541	5.953844	73.632280	5.921686	77.375426
		5.983266	83.920779	5.953844	73.632280
		6.012713	75.357950	5.983266	83.920779
		6.039432	83.892617	6.012713	75.357950
		6.052566	85.770649	6.039432	83.892617
		6.079390	77.525390	6.052566	85.770649
		6.108247	86.199466	6.079390	77.525390
		6.133566	81.652650	6.108247	86.199466
				6.133566	81.652650
				6.135878	84.083074
				6.122508	77.106947
				6.083860	81.592689
				6.064989	77.291699
				6.046205	73.507792
				6.008592	77.453334
				5.982979	85.719184
				5.961226	73.926222
				5.928147	75.431847
				5.905581	73.399883
				5.881407	77.525390
				5.846679	71.715433
				5.817385	70.259257
				5.782979	72.155278
				5.766450	66.454014
				5.724677	72.217809
				5.704176	67.019637
				5.679296	71.849404
				5.641855	62.786463
				5.606765	65.642641
				5.575276	62.810125
				5.546564	61.572563
				5.514356	58.051782
				5.473854	56.808499
				5.435187	55.564816
				5.391762	56.173464
				5.357879	54.887755
				5.319187	49.485352
				5.277860	49.421765
				5.240832	45.756120
				5.178450	40.163869
				5.135667	40.816327
				5.065806	32.106852
				5.003428	31.386334
				4.875031	17.148541
