"Time"	"3 Monitor"
177.035034	4.327
177.035039	4.487
177.035044	4.405
177.035049	3.936
177.035054	3.543
177.035059	3.429
177.035064	3.408
177.035069	3.362
177.035074	3.301
177.035079	3.243
177.035084	3.211
177.035089	3.210
177.035094	3.228
177.035099	3.252
177.035104	3.274
177.035109	3.295
177.035114	3.322
177.035119	3.244
177.035124	2.805
177.035129	2.156
177.035134	1.977
177.035139	2.354
177.035144	2.572
177.035149	2.311
177.035154	1.829
177.035159	1.410
177.035164	1.308
177.035169	1.536
177.035174	1.798
177.035179	1.847
177.035184	1.535
177.035189	1.019
177.035194	0.837
177.035199	1.036
177.035204	1.010
177.035209	0.651
177.035214	0.537
177.035219	0.776
177.035224	0.810
177.035229	0.508
177.035234	0.349
177.035239	0.481
177.035244	0.580
177.035249	0.523
177.035254	0.487
177.035259	0.527
177.035264	0.514
177.035269	0.378
177.035274	0.138
177.035279	-0.125
177.035284	-0.260
177.035289	-0.296
177.035294	-0.495
177.035299	-0.807
177.035304	-0.773
177.035309	-0.354
177.035314	-0.077
177.035319	-0.202
177.035324	-0.582
177.035329	-0.920
177.035334	-0.778
177.035339	-0.249
177.035344	-0.117
177.035349	-0.538
177.035354	-0.812
177.035359	-0.755
177.035364	-0.916
177.035369	-1.282
177.035374	-1.071
177.035379	-0.516
177.035384	-1.174
177.035389	-2.168
177.035394	0.465
177.035399	2.947
177.035404	-8.068
177.035409	-16.647
177.035414	30.867
177.035419	144.062
177.035424	272.277
177.035429	375.378
177.035434	432.719
177.035439	445.891
177.035444	443.395
177.035449	442.409
177.035454	443.043
177.035459	444.588
177.035464	446.750
177.035469	449.008
177.035474	450.536
177.035479	451.290
177.035484	452.253
177.035489	453.820
177.035494	455.541
177.035499	457.141
177.035504	458.650
177.035509	460.123
177.035514	461.616
177.035519	463.069
177.035524	464.283
177.035529	465.337
177.035534	466.671
177.035539	468.228
177.035544	469.285
177.035549	469.798
177.035554	470.648
177.035559	472.069
177.035564	473.391
177.035569	474.386
177.035574	475.482
177.035579	476.752
177.035584	477.767
177.035589	478.447
177.035594	479.203
177.035599	480.190
177.035604	481.193
177.035609	482.065
177.035614	482.781
177.035619	483.421
177.035624	484.192
177.035629	485.112
177.035634	485.957
177.035639	486.678
177.035644	487.479
177.035649	488.357
177.035654	489.026
177.035659	489.461
177.035664	489.992
177.035669	490.889
177.035674	492.293
177.035679	493.692
177.035684	493.804
177.035689	493.821
177.035694	497.992
177.035699	501.764
177.035704	488.827
177.035709	440.676
177.035714	337.952
177.035719	199.341
177.035724	92.017
177.035729	43.941
177.035734	28.095
177.035739	23.698
177.035744	22.951
177.035749	21.904
177.035754	20.492
177.035759	18.979
177.035764	17.721
177.035769	16.856
177.035774	16.235
177.035779	15.728
177.035784	15.248
177.035789	14.702
177.035794	13.986
177.035799	13.170
177.035804	12.548
177.035809	12.202
177.035814	11.922
177.035819	11.607
177.035824	11.321
177.035829	11.012
177.035834	10.474
177.035839	9.827
177.035844	9.607
177.035849	9.850
177.035854	9.912
177.035859	9.533
177.035864	9.011
177.035869	8.590
177.035874	8.391
177.035879	8.386
177.035884	8.375
177.035889	8.290
177.035894	8.251
177.035899	8.177
177.035904	7.716
177.035909	6.966
177.035914	6.617
177.035919	6.804
177.035924	6.901
177.035929	6.642
177.035934	6.290
177.035939	6.030
177.035944	5.900
177.035949	5.831
177.035954	5.632
177.035959	5.316
177.035964	5.162
177.035969	5.196
177.035974	5.100
177.035979	4.832
177.035984	4.728
177.035989	4.815
177.035994	4.695
177.035999	4.288
177.036004	3.960
177.036009	3.872
177.036014	3.881
177.036019	3.864
177.036024	3.759
177.036029	3.589
177.036034	3.482
177.036039	3.488
177.036044	3.554
177.036049	3.587
177.036054	3.468
177.036059	3.255
177.036064	3.236
177.036069	3.387
177.036074	3.264
177.036079	2.791
177.036084	2.395
177.036089	2.247
177.036094	2.153
177.036099	2.020
177.036104	1.927
177.036109	1.991
177.036114	2.352
177.036119	2.771
177.036124	2.534
177.036129	1.696
177.036134	1.334
177.036139	1.699
177.036144	1.895
177.036149	1.581
177.036154	1.228
177.036159	1.124
177.036164	1.248
177.036169	1.412
177.036174	1.249
177.036179	0.772
177.036184	0.492
177.036189	0.586
177.036194	0.762
177.036199	0.793
177.036204	0.589
177.036209	0.260
177.036214	0.161
177.036219	0.315
177.036224	0.300
177.036229	0.026
177.036234	-0.135
177.036239	-0.076
177.036244	-0.062
177.036249	-0.187
177.036254	-0.286
177.036259	-0.310
177.036264	-0.372
177.036269	-0.485
177.036274	-0.511
177.036279	-0.453
177.036284	-0.502
177.036289	-0.711
