"Time"	"3 Monitor"
177.034334	0.567
177.034339	0.395
177.034344	0.328
177.034349	0.402
177.034354	0.554
177.034359	0.692
177.034364	0.697
177.034369	0.557
177.034374	0.401
177.034379	0.289
177.034384	0.187
177.034389	0.108
177.034394	0.129
177.034399	0.006
177.034404	-0.885
177.034409	-1.612
177.034414	0.665
177.034419	2.923
177.034424	-5.092
177.034429	-12.244
177.034434	20.376
177.034439	106.941
177.034444	226.768
177.034449	347.096
177.034454	423.358
177.034459	444.453
177.034464	443.482
177.034469	441.839
177.034474	441.813
177.034479	443.512
177.034484	445.870
177.034489	448.199
177.034494	450.397
177.034499	452.283
177.034504	453.534
177.034509	454.361
177.034514	455.662
177.034519	457.638
177.034524	459.533
177.034529	460.988
177.034534	462.238
177.034539	463.446
177.034544	464.624
177.034549	465.696
177.034554	466.499
177.034559	467.239
177.034564	468.594
177.034569	470.514
177.034574	471.986
177.034579	472.742
177.034584	473.556
177.034589	474.767
177.034594	476.064
177.034599	477.293
177.034604	478.561
177.034609	479.874
177.034614	481.082
177.034619	482.049
177.034624	482.671
177.034629	483.064
177.034634	483.616
177.034639	484.465
177.034644	485.403
177.034649	486.304
177.034654	487.180
177.034659	488.033
177.034664	488.844
177.034669	489.623
177.034674	490.424
177.034679	491.320
177.034684	492.404
177.034689	493.604
177.034694	494.641
177.034699	495.395
177.034704	495.984
177.034709	496.722
177.034714	498.132
177.034719	499.408
177.034724	497.557
177.034729	472.403
177.034734	382.952
177.034739	239.300
177.034744	118.661
177.034749	57.293
177.034754	32.499
177.034759	24.712
177.034764	23.655
177.034769	23.335
177.034774	22.539
177.034779	21.025
177.034784	19.391
177.034789	18.050
177.034794	17.091
177.034799	16.433
177.034804	15.802
177.034809	15.096
177.034814	14.454
177.034819	13.975
177.034824	13.686
177.034829	13.503
177.034834	13.206
177.034839	12.726
177.034844	12.197
177.034849	11.724
177.034854	11.359
177.034859	11.056
177.034864	10.651
177.034869	10.166
177.034874	9.867
177.034879	9.801
177.034884	9.711
177.034889	9.498
177.034894	9.299
177.034899	9.164
177.034904	9.010
177.034909	8.767
177.034914	8.393
177.034919	7.946
177.034924	7.613
177.034929	7.472
177.034934	7.443
177.034939	7.449
177.034944	7.433
177.034949	7.306
177.034954	6.951
177.034959	6.452
177.034964	6.147
177.034969	6.112
177.034974	6.067
177.034979	5.910
177.034984	5.801
177.034989	5.769
177.034994	5.658
177.034999	5.416
177.035004	5.144
177.035009	4.960
177.035014	4.983
177.035019	5.108
177.035024	4.944
177.035029	4.503
