"Im"	"0 Desc."	"Im"	"1 Asc."
6.145092	72.992701	3.912698	14.440433
6.142880	71.275837	3.926741	26.253610
6.124094	69.589422	3.964039	29.282577
6.085199	71.073205	3.994657	29.651594
6.085121	69.662139	4.036744	30.660739
6.101281	68.352700	4.070006	29.498525
6.062424	72.411296	4.119512	38.804812
6.049678	69.541029	4.119250	42.034468
6.052322	68.073519	4.132014	37.523452
6.034209	67.796610	4.175306	38.722168
6.015641	69.492703	4.181655	46.019328
5.983167	66.533599	4.231139	45.871560
5.979764	68.027211	4.267321	46.598322
5.968971	66.555740	4.269257	48.983590
5.958569	32.889327	4.275021	47.025629
5.937310	137.551582	4.285558	49.578582
5.916188	122.699387	4.337582	50.877639
5.894371	64.850843	4.333660	50.620096
5.887979	61.255743	4.375885	53.248136
5.889968	62.053987	4.395185	50.864700
5.872884	61.312078	4.418083	50.994391
5.840778	62.266501	4.443607	52.260256
5.845791	63.734863	4.454919	55.850321
5.828889	58.806233	4.474823	52.840159
5.788041	60.042029	4.487804	53.576212
5.756724	62.247121	4.491185	53.461641
5.764794	154.202005	4.521410	56.385678
5.744711	100.200401	4.529376	54.421769
5.754372	58.224163	4.561109	55.447741
5.720629	59.241706	4.584325	57.306590
5.736225	321.543408	4.600140	55.370986
5.711426	91.240876	4.609927	55.463117
5.696784	187.265918	4.614254	57.208238
5.722331	176.366843	4.654578	54.540496
5.703636	166.112957	4.676596	59.224163
5.686379	135.777325	4.687446	57.753393
5.695233	91.116173	4.682950	59.206631
5.674103	843.881857	4.729824	56.401579
5.630657	39.370079	4.752162	58.962264
5.639201	160.256410	4.748749	57.553957
5.640035	82.542303	4.769139	59.630292
5.626623	114.481969	4.775448	61.538462
5.611322	56.529112	4.813476	60.259114
5.584410	121.728545	4.814310	64.184852
5.585773	104.438642	4.822713	61.938681
5.575687	67.453626	4.858074	63.431652
5.571465	311.526480	4.860438	62.992126
5.556894	102.933608	4.868347	60.060060
5.546620	108.459870	4.907006	66.644452
5.548409	52.246604	4.937060	59.826503
5.509397	167.224080	4.924555	63.171194
5.492700	74.850299	4.955918	63.836578
5.491351	68.189567	4.955501	65.316786
5.488841	244.798042	4.989567	63.251107
5.479583	182.315406	4.998277	62.637018
5.505680	148.367953	5.028886	64.913989
5.470503	153.727902	5.046209	62.558649
5.475632	116.959064	5.052466	64.977258
5.455534	36.948088	5.099186	63.795853
5.432343	243.605359	5.087491	66.445183
5.431439	50.175615	5.108308	66.050198
5.398456	319.488818	5.104419	64.808814
5.405767	58.004640	5.124121	65.703022
5.381998	46.827441	5.140106	66.050198
5.362520	142.348754	5.143205	64.787820
5.372147	68.469702	5.178004	66.401062
5.322518	43.888523	5.214593	64.641241
5.320282	53.633682	5.234939	63.795853
5.286887	193.423598	5.232130	65.487885
5.269253	44.375416	5.221288	66.889632
5.249138	41.919933	5.258354	68.634180
5.248879	72.228241	5.251571	65.231572
5.240459	89.126560	5.279630	66.979236
5.196468	40.609137	5.323265	69.783671
5.175209	38.955980	5.294378	68.846816
5.138348	35.385704	5.329672	66.577896
5.113125	34.036760	5.331280	68.329347
5.076909	31.426776	5.346617	68.469702
5.037632	28.284542	5.369446	68.469702
4.994799	24.847807	5.381918	66.934404
4.946670	23.038820	5.400173	68.728522
4.903022	18.547714	5.433186	66.755674
4.778398	11.249227	5.457443	70.224719
		5.433545	68.587106
		5.451317	68.775791
		5.485385	70.348224
		5.499741	67.750678
		5.491991	68.681319
		5.571177	69.979006
		5.526781	67.613252
		5.542336	69.954530
		5.565777	72.202166
		5.607079	69.783671
		5.592623	70.646415
		5.600154	69.396253
		5.611826	72.046110
		5.646157	68.870523
		5.658724	68.422853
		5.671393	69.444444
		5.702687	71.073205
		5.688306	69.541029
		5.715067	70.126227
		5.745123	72.411296
		5.752254	69.686411
		5.762584	73.260073
		5.771442	70.397747
		5.802327	71.225071
		5.814887	69.832402
		5.828645	72.859745
		5.816843	71.839080
		5.853601	73.637703
		5.870177	69.954530
		5.879388	72.753729
		5.904508	69.881202
		5.896939	72.674419
		5.913073	71.352123
		5.935083	71.377587
		5.961548	73.313783
		5.972962	75.757576
		5.982021	70.150824
		6.007750	72.124053
		6.029562	73.206442
		6.036503	71.098471
		6.055319	70.101647
		6.069896	72.202166
		6.087234	71.787509
		6.113971	70.896845
		6.111823	71.581961
		6.134957	70.921986
		6.161253	72.542619
