"Im"	"0 Desc."	"Im"	"1 Asc."
7.143397	52.717592	4.606511	15.264146
7.102520	50.856939	4.704834	18.841262
7.060539	51.368983	4.817084	21.420615
7.018803	49.654898	4.901286	23.579900
6.977809	50.152967	4.981217	24.199598
6.932950	48.716325	5.052433	26.721535
6.891613	47.386627	5.127823	28.090677
6.848899	48.046894	5.182049	31.028919
6.810922	46.667911	5.247777	32.255983
6.766351	46.063844	5.304881	33.553669
6.725544	45.672528	5.374562	34.172846
6.680881	45.879978	5.435709	35.542918
6.631907	44.448395	5.481487	36.182068
6.585869	44.128679	5.546310	36.839197
6.529040	42.784409	5.590872	38.514867
6.488994	42.607584	5.644590	38.789760
6.436361	41.017227	5.714078	37.919005
6.388366	41.300128	5.749161	39.281926
6.339635	39.731416	5.808655	41.569671
6.281468	38.899911	5.842364	41.385590
6.231565	39.030483	5.895484	42.227946
6.181091	37.913254	5.946472	42.947947
6.129670	37.976606	6.005331	42.984869
6.079519	36.892201	6.039042	43.788589
6.010281	35.016458	6.088652	44.712721
5.966589	37.019213	6.143683	43.750273
5.902364	34.787449	6.177093	44.978186
5.837367	33.860427	6.223776	44.814914
5.770778	32.722513	6.265766	46.609182
5.716091	31.277368	6.320704	45.816916
5.640904	29.908778	6.361644	46.561438
5.569763	28.490840	6.396149	47.012364
5.492467	27.428070	6.437972	47.814861
5.421228	26.828352	6.480646	49.106266
5.351022	25.288286	6.528878	48.954815
5.254630	24.558560	6.568259	50.213407
5.171588	22.691688	6.605355	50.673964
5.060449	19.388863	6.653969	49.106266
4.954873	18.343239	6.683928	49.642573
4.831431	16.559307	6.723148	50.037528
4.683873	13.772587	6.758666	51.028219
		6.811727	50.279049
		6.854161	49.566295
		6.893573	50.576573
		6.938549	51.379541
		6.974176	52.498950
		7.009737	51.342609
		7.046559	51.620896
		7.087788	52.067062
		7.128143	51.802735
