"Time"	"3 Monitor"
51.478116	2.794
51.478121	1.694
51.478126	-8.907
51.478131	13.177
51.478136	118.651
51.478141	263.875
51.478146	371.507
51.478151	427.782
51.478156	447.651
51.478161	447.186
51.478166	437.712
51.478171	392.227
51.478176	277.343
51.478181	139.342
51.478186	50.790
51.478191	14.496
51.478196	3.566
51.478201	3.081
51.478206	4.362
51.478211	4.681
51.478216	4.016
51.478221	2.675
51.478226	1.199
51.478231	0.806
51.478236	2.303
51.478241	1.198
51.478246	-6.560
51.478251	-4.229
51.478256	32.479
51.478261	114.766
51.478266	241.622
51.478271	365.263
51.478276	427.161
51.478281	444.138
51.478286	458.596
51.478291	452.214
51.478296	386.497
51.478301	275.414
51.478306	155.881
51.478311	60.339
51.478316	14.046
51.478321	4.392
51.478326	4.249
51.478331	4.517
51.478336	4.329
51.478341	3.721
51.478346	3.034
51.478351	2.004
51.478356	0.400
51.478361	0.278
51.478366	3.357
