"Im"	"0 Desc."	"Im"	"1 Asc."
7.120208	49.615480	4.664975	14.278575
7.070530	48.600311	4.788972	16.753786
7.030102	46.983650	4.896794	19.536592
6.989148	47.755492	4.991581	22.086757
6.948201	46.457607	5.066323	24.508603
6.906541	45.079565	5.147611	25.987526
6.854603	44.648837	5.222910	26.767312
6.810746	44.387234	5.287432	29.495045
6.761775	43.694835	5.352152	31.169155
6.725992	42.227946	5.424012	32.050255
6.670898	41.741453	5.490386	32.455941
6.614873	40.495667	5.544866	33.032735
6.574212	40.149356	5.615831	34.139014
6.509841	39.673094	5.661290	35.635379
6.470410	38.924137	5.721634	35.454707
6.411780	37.519229	5.782392	36.828343
6.357183	37.881658	5.829140	38.037277
6.295830	36.443149	5.889733	37.488285
6.243836	35.709184	5.941738	39.033530
6.187075	34.287674	5.990702	39.289643
6.119913	33.866161	6.042540	40.422006
6.061401	33.158698	6.077679	41.512724
5.993314	32.767547	6.140686	41.291601
5.931202	30.047174	6.187948	42.744176
5.861838	28.477858	6.232529	42.933196
5.785254	27.902564	6.273055	42.515199
5.716135	27.745408	6.322682	43.084877
5.634157	26.590087	6.369618	44.369509
5.561724	25.050100	6.423774	44.039283
5.471327	23.559901	6.479277	44.565266
5.368920	21.635187	6.518740	45.079565
5.273404	19.672260	6.558609	46.268450
5.166357	18.293575	6.595213	46.259888
5.040878	16.982542	6.639037	46.948357
4.905027	15.147613	6.682294	47.607712
		6.727972	47.397858
		6.769605	47.156465
		6.819220	48.657065
		6.863370	47.209895
		6.904115	48.690233
		6.956937	48.921286
		6.976977	48.697346
		7.022216	49.756195
		7.062844	49.977510
		7.111958	48.155639
		7.145112	50.438818
