"Im"	"0 Desc."	"Im"	"1 Asc."
7.190988	135.391281	4.187680	69.570057
7.162810	143.781452	4.207052	67.312870
7.167882	144.362639	4.237598	61.425061
7.164118	134.318334	4.270979	67.308340
7.136303	144.279325	4.308966	72.243895
7.138788	126.919660	4.319385	67.217853
7.096994	143.905598	4.359799	72.421784
7.095090	135.648399	4.376351	67.109590
7.081241	134.643867	4.415879	84.274397
7.065793	143.988481	4.428537	77.669903
7.029579	126.023945	4.479297	67.467278
7.018142	135.888028	4.495791	87.757789
7.019101	143.905598	4.511632	72.270001
6.993568	134.336378	4.546727	84.104289
6.974458	134.752729	4.567159	91.810503
6.970375	134.372481	4.589437	84.260195
6.944914	134.770889	4.608779	87.904360
6.909296	127.000254	4.637974	84.302816
6.913438	134.752729	4.647159	87.958484
6.911970	134.210173	4.683242	91.549940
6.892657	127.194098	4.717959	84.352594
6.863403	125.281884	4.728335	91.726289
6.870161	135.025655	4.755641	84.160916
6.828017	134.210173	4.766061	96.181591
6.838611	126.566257	4.802333	96.432015
6.808196	134.156158	4.830497	91.743119
6.801874	134.264232	4.844782	101.010101
6.781180	120.264582	4.845378	91.937115
6.743091	133.761370	4.890500	91.844232
6.765340	134.498991	4.918663	101.132686
6.733922	119.175307	4.934329	91.937115
6.713242	127.097102	4.953337	106.134579
6.684309	125.738715	4.963379	96.052252
6.691517	126.742712	4.983869	96.339114
6.661144	118.891927	5.008995	96.394833
6.651190	125.738715	5.026187	106.349038
6.637951	126.486213	5.051909	91.911765
6.596563	132.555673	5.083284	106.258634
6.600952	114.181320	5.091553	106.190931
6.576887	119.075970	5.113642	101.214575
6.569345	125.801988	5.118452	106.349038
6.540091	118.807176	5.162237	112.132765
6.530820	119.417244	5.164955	96.385542
6.495521	118.849536	5.199367	112.120193
6.514747	122.789784	5.198946	112.233446
6.486845	121.329774	5.227981	106.518960
6.463405	113.007119	5.272551	54.576216
6.437654	125.786164	5.273714	101.224820
6.432553	112.170499	5.310204	118.595825
6.397226	112.447993	5.319810	106.541658
6.376401	118.427286	5.322440	112.082493
6.368350	107.009096	5.354033	112.384806
6.354690	118.595825	5.373695	106.553010
6.330043	112.283854	5.399867	112.019715
6.328561	106.484932	5.416667	112.384806
6.287522	118.750742	5.427827	118.764846
6.278832	101.522843	5.442447	118.849536
6.271915	118.329192	5.461687	101.245317
