"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
27.57731	1	0.185	-4.036
27.57732	0	0.162	-4.051
27.57733	0	0.174	-4.234
27.57734	0	7.262	0.992
27.57735	0	23.753	131.065
27.57736	0	23.442	356.392
27.57737	0	23.175	478.615
27.57738	0	23.044	499.985
27.57739	0	23.132	499.985
27.57740	0	23.120	499.985
27.57741	0	22.852	499.985
27.57742	0	22.864	499.985
27.57743	0	22.847	499.985
27.57744	0	16.115	499.985
27.57745	0	0.107	438.316
27.57746	0	-0.443	251.274
27.57747	1	-0.151	78.102
27.57748	0	-0.006	19.424
27.57749	0	-0.041	6.958
27.57750	0	0.081	4.570
27.57751	0	0.087	3.548
27.57752	0	0.099	2.533
27.57753	0	0.189	1.289
27.57754	0	0.247	0.504
27.57755	0	0.156	-0.168
27.57756	0	0.124	-0.717
27.57757	0	0.189	-1.015
27.57758	0	0.127	-1.167
27.57759	0	0.012	-1.663
27.57760	0	-0.017	-2.144
27.57761	0	0.070	-2.495
27.57762	0	0.208	-2.686
27.57763	0	0.133	-2.754
27.57764	1	-0.101	-3.098
27.57765	0	-0.063	-3.319
27.57766	0	0.085	-3.593
27.57767	0	0.098	-3.830
27.57768	0	7.259	35.652
27.57769	0	23.830	216.522
27.57770	0	23.254	423.683
27.57771	0	22.925	494.728
27.57772	0	22.926	499.985
27.57773	0	22.952	499.985
27.57774	0	22.806	499.985
27.57775	0	22.646	499.985
27.57776	0	22.775	499.985
27.57777	0	22.931	499.985
27.57778	0	15.932	499.985
27.57779	0	-0.522	380.844
27.57780	0	-0.366	167.473
27.57781	1	-0.056	45.105
27.57782	0	0.145	12.146
27.57783	0	0.101	6.393
27.57784	0	0.117	4.753
27.57785	0	0.061	3.311
27.57786	0	-0.009	2.205
27.57787	0	0.049	1.358
27.57788	0	0.031	0.694
27.57789	0	0.151	0.237
27.57790	0	0.169	0.000
27.57791	0	0.119	-0.435
27.57792	0	0.209	-1.114
27.57793	0	0.414	-1.633
27.57794	0	0.159	-1.915
27.57795	0	0.114	-2.151
27.57796	0	0.079	-2.464
27.57797	0	0.150	-2.785
27.57798	1	0.140	-3.021
