"Time"	"9 10Vm+hr"	"4 Im"
45.72615	-69.077	0.010
45.72621	-69.611	0.014
45.72625	-69.664	0.017
45.72630	-69.954	0.020
45.72635	-69.946	0.007
45.72641	-70.160	0.003
45.72646	-70.099	-0.019
45.72650	-69.870	-0.018
45.72655	-69.809	-0.018
45.72660	-69.901	-0.010
45.72666	-70.023	0.004
45.72670	-70.107	0.015
45.72675	-70.107	0.012
45.72680	-70.053	0.010
45.72686	-69.977	0.002
45.72690	-69.733	-0.009
45.72695	-69.794	-0.000
45.72700	-69.939	0.002
45.72706	-69.862	-0.004
45.72710	-70.045	-0.004
45.72715	-70.122	-0.004
45.72720	-69.794	-0.002
45.72726	-69.725	-0.010
45.72731	-69.740	-0.008
45.72735	-69.710	-0.010
45.72740	-69.786	-0.000
45.72745	-69.832	0.013
45.72751	-70.198	0.025
45.72755	-70.206	0.027
45.72760	-69.557	0.032
45.72765	-69.656	0.027
45.72771	-69.946	0.012
45.72775	-69.962	0.009
45.72780	-69.572	-0.003
45.72785	-69.489	-0.009
45.72791	-69.572	-0.000
45.72796	-69.588	0.005
45.72800	-69.801	0.009
45.72805	-69.847	0.005
45.72810	-69.801	0.002
45.72816	-69.870	-0.006
45.72820	-70.000	-0.011
45.72825	-70.053	-0.009
45.72830	-69.656	-0.004
45.72836	-69.580	-0.006
45.72840	-69.565	-0.002
45.72845	-69.580	-0.000
45.72850	-70.076	0.004
45.72856	-70.061	0.009
45.72860	-70.328	0.016
45.72865	-70.381	0.011
45.72870	-69.885	0.013
45.72876	-69.839	-0.001
45.72881	-69.534	-0.006
45.72885	-69.534	-0.007
45.72890	-69.679	-0.013
45.72895	-69.740	-0.006
45.72901	-69.679	-0.001
45.72905	-69.649	0.001
45.72910	-69.565	-0.000
45.72915	-69.626	0.000
45.72921	-69.962	-0.018
45.72925	-70.030	-0.032
45.72930	-69.778	-0.028
45.72935	-69.717	-0.035
45.72941	-69.542	-0.016
45.72945	-69.511	-0.008
45.72950	-69.313	-0.003
45.72955	-69.138	0.011
45.72960	-69.809	0.008
45.72966	-69.901	0.005
45.72970	-69.534	0.007
45.72975	-69.580	-0.004
45.72980	-69.626	0.004
45.72986	-69.656	0.009
45.72990	-69.557	0.012
45.72995	-69.557	0.005
45.73000	-70.030	-0.010
45.73006	-70.206	-0.014
45.73010	-69.885	-0.024
45.73015	-69.794	-0.025
45.73020	-69.511	-0.014
45.73026	-69.496	-0.014
45.73031	-69.595	-0.006
45.73035	-69.527	0.002
45.73040	-69.633	0.003
45.73045	-69.702	-0.004
45.73051	-69.443	-0.002
45.73055	-69.382	-0.005
45.73060	-70.015	0.000
45.73065	-70.175	0.004
45.73071	-69.931	0.008
45.73075	-69.962	0.010
45.73080	-69.763	0.006
45.73085	-69.763	0.007
45.73091	-69.862	0.002
45.73095	-69.916	-0.005
45.73100	-69.832	0.001
45.73105	-69.817	0.006
45.73110	-69.633	0.008
45.73116	-69.733	0.014
45.73120	-69.641	0.006
45.73125	-69.641	-0.002
45.73130	-69.527	-0.001
45.73136	-69.511	-0.005
45.73140	-69.542	-0.002
45.73145	-69.519	0.001
45.73150	-69.695	0.008
45.73156	-69.832	0.008
45.73160	-69.885	0.008
45.73165	-69.733	0.012
45.73170	-69.717	-0.001
45.73176	-69.824	-0.001
45.73181	-69.908	-0.004
45.73185	-69.893	-0.008
45.73190	-69.916	-0.001
45.73195	-70.023	0.002
45.73201	-69.656	0.007
45.73205	-69.267	0.010
45.73210	-69.458	-0.006
45.73215	-69.557	-0.009
45.73221	-69.565	-0.006
45.73225	-69.809	-0.008
45.73230	-69.763	0.007
45.73235	-69.740	0.011
45.73241	-69.870	0.012
45.73245	-69.977	0.019
45.73250	-69.870	0.014
45.73255	-69.794	0.011
45.73261	-69.603	0.004
45.73266	-69.572	0.002
45.73270	-69.481	0.003
45.73275	-69.283	0.011
