"Im"	"0 Desc."	"Im"	"1 Asc."
7.192165	99.840256	4.791827	23.049441
7.165585	97.134531	4.859474	35.096339
7.145255	94.464387	4.890035	61.800878
7.117673	99.571841	4.972520	23.510603
7.128136	94.304036	5.025417	65.449310
7.063860	92.378753	5.062401	40.022413
7.050026	91.903318	5.087760	66.409882
7.041713	97.761267	5.112029	60.219198
7.008449	92.712776	5.144726	63.698325
6.977307	94.117647	5.193743	66.529173
6.976900	91.024941	5.223345	63.669935
6.940918	89.806915	5.260722	69.623338
6.903469	97.115665	5.278713	70.052539
6.902408	88.440789	5.303505	74.338388
6.869216	90.009001	5.346316	70.032915
6.850804	88.920505	5.372300	73.664825
6.822742	88.393883	5.379987	74.738416
6.801002	89.150397	5.425212	76.834422
6.780730	86.647604	5.448289	77.011937
6.760414	85.587128	5.505197	74.654722
6.733616	89.501477	5.507900	77.459334
6.715204	89.421443	5.527358	78.443677
6.694903	87.336245	5.565404	74.476800
6.660723	88.300221	5.569691	82.358755
6.633926	83.991265	5.593247	74.632435
6.613929	82.345191	5.631176	81.994096
6.585403	89.253838	5.649603	79.510217
6.553388	82.467425	5.678609	80.224629
6.546253	86.782956	5.704433	78.419072
6.512190	82.719828	5.747463	83.077179
6.493211	83.514281	5.760396	78.499097
6.470017	80.495854	5.804574	81.162243
6.440517	81.873260	5.812262	83.243153
6.409883	80.469944	5.832258	81.806283
6.383449	82.263903	5.861322	82.007545
6.359456	80.834209	5.879197	81.486310
6.328764	74.923204	5.914496	86.318515
6.316616	77.351485	5.939578	87.627059
6.285052	73.110104	5.947643	84.545147
6.252921	78.603993	5.985093	85.543199
6.234116	73.356808	6.010452	86.986778
6.178589	73.730001	6.030724	85.506627
6.175421	72.458517	6.048046	88.144557
6.146676	70.348224	6.067461	85.062947
6.113427	69.773932	6.099723	89.158345
6.083868	72.270001	6.121812	86.437894
6.049064	67.321933	6.150774	92.199889
6.017761	63.207130	6.168460	84.875233
5.960911	43.014453	6.211388	91.827365
5.943400	74.211503	6.212798	88.526912
5.899309	43.628114	6.241528	89.445438
5.838957	43.269439	6.245873	94.011469
5.824164	69.118054	6.277320	87.596356
5.762562	40.734857	6.321600	90.187590
5.711626	29.901624	6.328706	90.317919
5.640491	39.430622	6.359326	91.970937
5.574820	29.105303	6.378813	89.549566
5.473531	19.361834	6.395235	88.479915
		6.417934	95.547487
		6.445661	91.157703
		6.471470	91.675834
		6.486003	95.002850
		6.519746	92.635479
		6.530326	93.361964
		6.564796	92.284976
		6.582874	92.293493
		6.600981	96.302003
		6.630670	92.618320
		6.646220	94.135367
		6.671419	94.446543
		6.703593	94.117647
		6.711847	96.880450
		6.723923	93.118540
		6.754790	93.187960
		6.772984	96.683747
		6.802891	94.652153
		6.810855	94.509026
		6.851690	96.061479
		6.866935	96.264921
		6.894095	97.599063
		6.910706	95.465394
		6.939261	97.991181
		6.925543	95.392540
		6.979617	95.684623
		6.998727	94.020308
		7.028184	98.376783
		7.028547	97.210071
		7.060140	98.376783
		7.084322	99.354198
		7.099871	97.560976
		7.120594	102.291326
		7.158697	98.019996
		7.165353	95.849708
		7.186396	96.348396
