"Im"	"0 Desc."	"Im"	"1 Asc."	"Im"	"2 All"
6.144675	81.419964	4.813709	20.877263	4.702821	0.000000
6.116377	78.284014	4.879638	30.446961	4.813709	20.877263
6.086162	78.777375	4.942032	31.675641	4.879638	30.446961
6.049222	76.097709	5.005065	35.578326	4.942032	31.675641
6.030744	80.866893	5.043507	43.603384	5.005065	35.578326
6.002723	77.387401	5.085768	45.541488	5.043507	43.603384
5.984265	74.990626	5.128011	49.324258	5.085768	45.541488
5.951101	73.088730	5.173616	50.398145	5.128011	49.324258
5.923442	72.474272	5.214385	56.411124	5.173616	50.398145
5.898049	72.479525	5.242821	51.956149	5.214385	56.411124
5.865905	69.420340	5.291977	56.366608	5.242821	51.956149
5.835726	71.989058	5.317386	56.060096	5.291977	56.366608
5.802301	68.432218	5.352129	56.195561	5.317386	56.060096
5.769754	69.113277	5.394893	58.159823	5.352129	56.195561
5.746870	68.203519	5.431494	62.806180	5.394893	58.159823
5.720912	62.928702	5.458635	62.731322	5.431494	62.806180
5.680111	66.396654	5.492381	62.727387	5.458635	62.731322
5.649526	65.091453	5.522847	65.193298	5.492381	62.727387
5.624276	63.475943	5.559226	61.282020	5.522847	65.193298
5.584691	59.435364	5.588317	62.500000	5.559226	61.282020
5.545830	57.890471	5.623515	64.524455	5.588317	62.500000
5.515677	57.920649	5.658173	67.893272	5.623515	64.524455
5.482325	55.129831	5.680704	68.161680	5.658173	67.893272
5.434482	57.191879	5.713141	69.228107	5.680704	68.161680
5.395918	53.276505	5.737133	67.312870	5.713141	69.228107
5.366524	54.350780	5.775582	67.787419	5.737133	67.312870
5.330056	50.784622	5.799228	71.510297	5.775582	67.787419
5.284413	50.226017	5.825737	70.057447	5.799228	71.510297
5.237126	48.921286	5.860239	70.686365	5.825737	70.057447
5.200432	46.384341	5.882395	77.237970	5.860239	70.686365
5.168724	48.683122	5.908681	73.784402	5.882395	77.237970
5.099140	36.888118	5.939821	74.244562	5.908681	73.784402
5.034614	32.722513	5.968919	76.353363	5.939821	74.244562
4.974569	29.326373	5.983841	75.792027	5.968919	76.353363
		6.022322	75.352272	5.983841	75.792027
		6.043373	78.253384	6.022322	75.352272
		6.079830	77.459334	6.043373	78.253384
		6.100689	77.525390	6.079830	77.459334
		6.120264	80.547725	6.100689	77.525390
				6.120264	80.547725
				6.144675	81.419964
				6.116377	78.284014
				6.086162	78.777375
				6.049222	76.097709
				6.030744	80.866893
				6.002723	77.387401
				5.984265	74.990626
				5.951101	73.088730
				5.923442	72.474272
				5.898049	72.479525
				5.865905	69.420340
				5.835726	71.989058
				5.802301	68.432218
				5.769754	69.113277
				5.746870	68.203519
				5.720912	62.928702
				5.680111	66.396654
				5.649526	65.091453
				5.624276	63.475943
				5.584691	59.435364
				5.545830	57.890471
				5.515677	57.920649
				5.482325	55.129831
				5.434482	57.191879
				5.395918	53.276505
				5.366524	54.350780
				5.330056	50.784622
				5.284413	50.226017
				5.237126	48.921286
				5.200432	46.384341
				5.168724	48.683122
				5.099140	36.888118
				5.034614	32.722513
				4.974569	29.326373
