"Im"	"0 Desc."	"Im"	"1 Asc."
7.153642	56.747248	4.691288	15.301516
7.118202	56.195561	4.798947	18.779695
7.081360	54.094991	4.888066	20.494323
7.042839	55.657594	4.986386	23.620559
7.007589	53.222630	5.059939	25.557799
6.963462	53.931615	5.139625	28.373624
6.939867	52.926855	5.195051	30.755982
6.884204	52.656522	5.268421	32.441200
6.843148	51.124744	5.327311	33.641716
6.807312	49.975012	5.376523	34.489894
6.769686	49.416881	5.433307	36.863641
6.727266	47.973135	5.489109	36.485698
6.675962	49.084573	5.553111	37.671878
6.629238	46.317740	5.594812	38.560907
6.583159	47.332797	5.656422	39.499151
6.548527	44.503783	5.701213	41.793789
6.498931	45.624601	5.750445	40.848005
6.461294	45.173239	5.807776	42.689434
6.401856	43.431053	5.852681	42.041537
6.370502	41.536864	5.900542	44.144263
6.307217	42.740522	5.952461	42.261854
6.255640	40.110706	5.992705	47.589587
6.205053	41.599068	6.028673	46.715874
6.141732	38.698193	6.074355	45.816916
6.112801	36.725550	6.115580	48.816207
6.051862	39.419741	6.157735	47.734975
5.996988	36.757949	6.197999	49.463323
5.946713	35.959581	6.247668	49.728977
5.878375	34.093621	6.292189	51.538422
5.822160	33.922453	6.319928	50.085145
5.752729	33.490740	6.363932	50.185687
5.695295	30.459017	6.400836	51.620896
5.625852	29.037691	6.444828	52.301255
5.529469	28.766217	6.483264	51.918384
5.472845	26.434047	6.517143	52.609428
5.389726	24.919634	6.558536	51.845707
5.294765	22.690658	6.602511	53.146259
5.208458	21.852669	6.644507	51.867220
5.102322	19.402029	6.677714	52.050802
4.989396	17.831033	6.712818	55.840965
4.853425	14.245014	6.753936	54.285869
		6.794974	54.963175
		6.830450	55.135910
		6.859342	56.763354
		6.904860	57.411873
		6.932848	56.554688
		6.973859	58.390751
		7.020549	55.478502
		7.044133	57.663476
		7.070393	57.290175
		7.111669	59.206631
		7.141877	58.844298
