"Im"	"0 Desc."	"Im"	"1 Asc."
7.128900	51.495958	4.605022	14.078162
7.083727	49.455984	4.729941	16.323599
7.035269	50.937245	4.838061	19.337871
6.997656	48.959608	4.936555	21.976090
6.970110	47.764616	5.010072	24.645110
6.921888	47.503682	5.097773	25.990228
6.881360	47.671259	5.161770	27.687792
6.833089	47.296978	5.243073	30.166823
6.788300	47.189845	5.295067	32.297655
6.743443	45.846323	5.356163	32.266391
6.696671	46.057480	5.430781	32.855829
6.653526	43.973440	5.490966	34.313557
6.607092	43.817369	5.533229	35.707909
6.558006	41.692725	5.591353	36.848699
6.513878	40.821325	5.652420	38.532676
6.460728	41.614648	5.703158	38.204394
6.412190	40.330712	5.750022	39.057923
6.348443	38.674247	5.809517	40.178392
6.301036	39.285013	5.860225	39.788326
6.253730	38.067684	5.913540	40.622334
6.202572	38.048855	5.960760	41.050903
6.145278	37.433555	6.002694	42.009746
6.084038	34.785029	6.056939	44.191082
6.026941	35.506320	6.100221	43.950248
5.968101	33.800913	6.150229	44.292864
5.905340	33.008747	6.191311	45.361760
5.840462	32.515038	6.239457	45.427702
5.776574	30.060723	6.276121	46.294153
5.705557	29.656870	6.323484	47.041114
5.633802	28.604119	6.380602	47.869794
5.564285	27.602197	6.411304	47.330557
5.483524	25.660106	6.452081	47.494657
5.390501	23.394002	6.492836	47.723585
5.308551	22.790984	6.527516	47.730419
5.212269	21.401361	6.583673	48.241594
5.111965	19.977226	6.620810	48.976393
4.987615	17.163846	6.661281	48.229960
4.851258	14.838336	6.698229	49.684503
		6.738444	49.600714
		6.784492	49.468217
		6.829289	50.477008
		6.864266	51.596925
		6.914526	51.851084
		6.939711	51.671575
		6.984860	52.309463
		7.021179	52.960491
		7.060055	52.938062
		7.106651	52.912853
		7.140561	52.029136
