"Im"	"0 Desc."	"Im"	"1 Asc."
14.916729	174.520070	4.986811	78.833268
14.879731	172.265289	5.050470	79.649542
14.842045	176.522507	5.112410	81.632653
14.797827	177.935943	5.178970	85.579803
14.763781	171.086399	5.215209	92.038656
14.710654	169.061708	5.283977	87.412587
14.691800	174.672489	5.341840	89.485459
14.678237	175.901495	5.403541	89.485459
14.655910	173.160173	5.448647	101.419878
14.660641	176.991150	5.497413	95.510984
14.596193	170.068027	5.524892	102.040816
14.577032	173.010381	5.603166	105.652404
14.543038	169.491525	5.633285	101.317123
14.509407	166.944908	5.704859	103.573278
14.486315	176.211454	5.732356	105.152471
14.451686	173.010381	5.804190	108.225108
14.394978	170.068027	5.835347	111.856823
14.370208	167.084378	5.901959	104.547831
14.398000	170.502984	6.027831	110.680686
14.359201	177.147919	5.981947	112.930548
14.287601	165.425972	5.986492	110.558320
14.282550	173.160173	6.051937	117.370892
14.191961	166.389351	6.099166	115.141048
14.240690	174.216028	6.177418	113.895216
14.206085	161.812298	6.200752	124.069479
14.149249	169.779287	6.239475	120.992136
14.113456	167.644593	6.283358	124.069479
14.109851	164.609053	6.314078	121.285628
14.042342	165.700083	6.366822	121.506683
14.022275	166.251039	6.380774	119.118523
14.013603	166.112957	6.429901	126.422250
13.966748	157.977883	6.468134	121.506683
13.937732	160.384924	6.504133	126.984127
13.918857	165.425972	6.578876	130.718954
13.880423	161.550889	6.564317	127.632419
13.829254	162.601626	6.623336	128.122998
13.816849	160.000000	6.698333	133.600534
13.801483	165.425972	6.711211	130.378096
13.768825	159.489633	6.750454	131.147541
13.725243	168.208579	6.769148	137.741047
13.677366	157.480315	6.838718	131.492439
13.682324	160.642570	6.899308	132.275132
13.625848	163.398693	6.940576	129.870130
13.580278	157.232704	6.947219	134.048257
13.555147	160.513644	6.993085	137.268360
13.545942	154.679041	7.026794	134.770889
13.488947	158.982512	7.048304	136.425648
13.473902	156.617071	7.106647	138.888889
13.418248	160.771704	7.148149	137.457045
13.434385	160.128102	7.152110	136.147039
13.358412	158.856235	7.230908	141.442716
13.344051	155.159038	7.227833	137.741047
13.300438	153.964588	7.268807	144.300144
13.279916	156.739812	7.257834	135.409614
13.247929	159.744409	7.356408	146.198830
13.214312	158.102767	7.380851	142.857143
13.188311	153.139357	7.414048	145.666424
13.113036	157.853197	7.459225	141.043724
13.127367	151.975684	7.496695	137.174211
13.066831	158.604282	7.518818	139.860140
13.054264	152.439024	7.562193	147.058824
13.008506	158.227848	7.597099	145.454545
12.960088	154.083205	7.613062	145.878920
12.951940	151.630023	7.666175	142.348754
12.900827	155.520995	7.710125	146.305779
12.873336	153.964588	7.741495	149.925037
12.838412	148.257969	7.777920	146.627566
12.799856	150.715901	7.817400	145.772595
12.824781	151.171580	7.840250	145.985401
12.757239	146.198830	7.877319	150.602410
12.663228	155.038760	7.925629	150.602410
12.678768	150.715901	7.950361	147.601476
12.617843	144.300144	7.984540	148.367953
