"Im"	"0 Desc."	"Im"	"1 Asc."
7.135649	502.260171	2.881223	56.721497
7.190668	554.016621	2.921346	54.177051
7.147188	252.652855	2.993716	42.865104
7.109070	481.463649	3.011504	60.157613
7.254261	420.168067	3.049302	60.262746
7.159366	302.206105	3.056539	77.948398
7.113095	485.436893	3.092026	60.240964
7.114360	508.388409	3.129302	64.420537
7.113793	260.620276	3.162871	72.939460
7.088318	501.002004	3.184146	73.529412
7.121408	507.614213	3.206656	78.235018
7.102341	263.504611	3.230344	85.426277
7.071548	492.125984	3.261443	85.572480
7.188532	406.504065	3.287165	78.995181
7.085644	301.023480	3.299125	85.034014
7.043341	481.695568	3.323175	93.292285
7.116627	443.066017	3.376712	80.006401
7.062073	286.204923	3.364607	100.492413
7.059065	487.329435	3.400399	85.367936
7.165731	401.123145	3.435654	93.958470
7.034752	302.388872	3.443415	92.506938
7.015802	498.753117	3.477638	93.118540
6.998538	523.560209	3.486299	93.248788
7.051726	258.866166	3.507240	102.396068
6.992827	501.504514	3.536275	93.318402
7.016863	513.610683	3.554905	102.796053
7.019377	260.552371	3.596090	102.722137
6.981608	494.559842	3.587109	101.884870
6.984660	500.250125	3.629775	93.492895
6.968805	260.010400	3.621768	127.016385
7.012896	533.333333	3.655323	93.283582
7.085353	370.096225	3.678255	113.999088
7.012082	317.561131	3.696710	102.585146
6.956395	488.042948	3.717927	102.774923
7.075995	380.952381	3.723319	113.610543
7.025830	323.310702	3.745815	113.481616
6.947792	485.201359	3.762541	113.947129
7.073117	390.930414	3.786200	102.743245
6.961074	308.832613	3.791504	113.869278
6.938171	497.760080	3.826134	113.791534
7.027239	371.609067	3.851769	114.025086
6.966436	322.893122	3.864150	113.700966
6.923886	499.001996	3.874483	113.921167
7.036002	368.867577	3.896833	113.778587
6.962789	246.791708	3.923645	113.791534
6.930353	501.002004	3.921145	127.648711
6.953546	357.909807	3.955674	103.050289
6.870757	243.013366	3.984331	127.811861
6.916707	536.768653	3.993472	113.726828
6.991940	382.555471	3.996655	128.303823
6.897641	312.012480	4.008368	102.448520
6.864319	483.792937	4.038406	146.156095
6.982204	375.939850	4.070217	113.960114
6.890666	325.203252	4.084923	113.791534
6.849016	489.715965	4.088382	128.353228
6.958851	374.531835	4.106780	128.057370
6.884112	246.730817	4.123492	128.106585
6.842099	488.758553	4.145348	128.073770
6.900417	366.300366	4.140669	128.040973
6.822568	244.738130	4.204654	114.090131
6.799854	474.158369	4.182957	146.198830
6.904849	385.356455	4.219709	113.830393
6.772577	241.837969	4.229635	128.485160
6.840835	543.183053	4.244588	127.893593
6.912609	395.726157	4.250023	128.008193
6.820562	298.062593	4.263640	128.008193
6.810681	513.874615	4.302048	128.435654
6.859625	358.037952	4.309402	128.205128
6.782677	246.548323	4.325983	127.959053
6.767055	507.614213	4.328817	146.092038
6.846459	272.405339	4.347229	128.155837
6.755110	243.190661	4.354190	128.188694
6.732497	498.007968	4.389460	128.221567
6.815622	368.324125	4.386509	146.198830
6.720901	245.338567	4.395766	128.008193
6.735447	514.668039	4.426270	128.353228
6.827974	381.825124	4.425470	146.198830
6.732788	313.774710	4.448649	128.040973
