"Im"	"0 Desc."	"Im"	"1 Asc."
7.147593	54.939018	4.471739	15.245297
7.110819	53.949072	4.577262	18.661591
7.079120	53.064473	4.679254	21.423369
7.053037	51.899523	4.769346	21.863658
6.997638	51.429747	4.858909	24.093483
6.961003	51.158746	4.935960	27.483853
6.915730	52.252064	5.001321	27.856705
6.883187	50.393066	5.082774	29.127345
6.842607	48.813824	5.146858	31.074236
6.786825	47.145349	5.208608	33.161996
6.746049	47.078763	5.270809	33.491861
6.705536	48.390999	5.318502	34.522042
6.662862	46.341350	5.367327	36.455106
6.622067	46.399406	5.435534	36.824275
6.571493	45.138575	5.485787	38.488184
6.525458	43.932871	5.538742	37.785755
6.481045	41.948068	5.598879	36.923531
6.431044	42.598509	5.651216	38.317112
6.383965	41.298422	5.699748	40.019209
6.331327	42.645742	5.760163	40.846336
6.287239	40.384460	5.800541	41.407867
6.233331	38.246768	5.842836	41.618112
6.185247	38.786750	5.890662	41.279670
6.128179	37.873050	5.938375	43.062613
6.073898	37.713079	5.990670	43.521783
6.019981	37.063118	6.034403	44.206711
5.955745	35.331944	6.075865	44.290903
5.903301	35.241049	6.122438	47.501425
5.837496	34.263003	6.170545	44.618954
5.774226	33.472803	6.217308	46.774873
5.713944	31.506979	6.254632	47.395611
5.655313	30.382208	6.302390	48.281190
5.589993	29.344445	6.337645	48.704461
5.511109	28.021408	6.388530	49.925112
5.429821	25.847140	6.425487	49.188392
5.337699	23.908574	6.465029	49.495149
5.256682	23.157261	6.506448	50.342328
5.156455	21.428878	6.533920	49.860391
5.063589	18.888595	6.593716	50.903538
4.936194	17.796128	6.628538	49.627792
4.783636	14.265946	6.668508	50.251256
		6.708757	51.450916
		6.742929	50.484653
		6.783866	51.145663
		6.829791	52.200240
		6.868359	52.971713
		6.902613	53.302063
		6.940421	51.894136
		6.980662	52.369730
		7.021550	54.130129
		7.057665	55.524708
		7.095803	54.975261
		7.130092	55.111601
