"Im"	"0 Desc."	"Im"	"1 Asc."
7.167751	102.796053	4.365554	21.921652
7.139457	114.116170	4.390390	65.210303
7.133222	106.496273	4.428304	60.175713
7.100481	102.880658	4.460783	63.959066
7.090498	105.764146	4.511428	42.124774
7.080296	103.209826	4.554196	72.611095
7.034026	102.009589	4.573015	67.403613
7.041350	103.114044	4.599057	69.555540
7.011355	102.606197	4.618094	69.185001
6.996271	102.072063	4.663013	71.250445
6.957935	102.954803	4.701436	70.621469
6.950320	102.406554	4.715373	68.334017
6.927185	102.501025	4.765843	70.219788
6.911127	105.451861	4.778239	76.640098
6.880246	102.595670	4.813029	75.069439
6.880566	100.220485	4.846322	75.728891
6.839832	105.440742	4.854446	78.449831
6.822597	96.006144	4.881984	78.517588
6.797645	99.492588	4.925552	76.365025
6.782270	99.611515	4.932963	80.853816
6.758612	95.602294	4.966445	77.501356
6.757987	97.285728	4.991266	78.480615
6.713882	94.885663	5.024618	80.218193
6.704974	95.776267	5.046866	78.995181
6.661566	95.648015	5.074681	84.338366
6.653428	96.052252	5.082499	81.360345
6.613566	95.648015	5.101391	85.244225
6.610456	98.941328	5.132548	83.125520
6.620222	94.455464	5.187392	90.203861
6.569853	91.642229	5.190778	83.437630
6.554406	99.117851	5.204119	86.058520
6.527841	95.886470	5.223984	90.252708
6.491089	93.484154	5.258164	83.243153
6.491961	90.522314	5.280747	83.022001
6.449948	89.533530	5.291588	88.644624
6.433076	93.092534	5.335286	85.697146
6.411104	87.275266	5.335185	86.782956
6.383289	93.118540	5.392907	88.503407
6.357960	85.142614	5.407395	87.450809
6.344793	87.750088	5.422683	92.353158
6.314494	87.252421	5.459493	88.004928
6.290283	84.846428	5.487598	89.839188
6.273193	86.490227	5.489938	88.378259
6.247021	81.380208	5.498817	90.777052
6.214585	80.495854	5.533316	89.533530
6.211475	85.295121	5.548314	93.976130
6.165495	82.041185	5.573411	87.581012
6.154349	78.746358	5.617240	88.597502
6.123279	82.223319	5.612023	91.600256
6.103879	78.314668	5.652509	94.250707
6.069496	80.450523	5.670079	91.869545
6.050284	80.664677	5.699812	91.566706
6.020435	76.068766	5.711452	99.088387
6.009885	77.208153	5.732756	91.692646
5.980864	74.471254	5.754409	96.126117
5.954343	77.875555	5.781279	95.620578
5.911095	75.602933	5.810605	91.608648
5.884007	74.454620	5.817028	94.643195
5.868617	73.115449	5.849014	93.949643
5.838797	70.851637	5.866438	95.812973
5.794750	71.999424	5.875157	94.813691
5.791611	71.459197	5.912025	96.637031
5.746693	73.540227	5.928926	96.348396
5.722249	69.895855	5.926339	98.019996
5.669018	65.453593	5.993318	96.767950
5.618257	44.428648	5.991720	98.357431
5.581883	72.616368	6.016947	94.153093
5.564997	42.852245	6.024490	97.675327
5.538548	69.550702	6.044573	99.492588
5.475798	40.861357	6.103007	96.861682
5.430894	41.052588	6.085903	101.636345
5.344238	23.909145	6.093183	98.619329
5.258164	27.975941	6.142346	102.954803
		6.151777	99.295005
		6.182048	100.796291
		6.200053	104.090767
		6.240569	97.228974
		6.244638	101.214575
		6.275460	99.492588
		6.280489	106.112054
		6.297927	102.438025
		6.336089	100.431857
		6.342396	101.512537
		6.356114	106.055785
		6.368321	102.522042
		6.392808	102.595670
		6.413967	99.226037
		6.428964	102.448520
		6.443656	102.722137
		6.506144	100.260678
		6.487877	101.812258
		6.512669	105.641242
		6.527724	102.396068
		6.545003	102.701037
		6.571016	105.663567
		6.607782	115.035086
		6.631324	97.191175
		6.619437	113.007119
		6.672029	100.290843
		6.674165	116.468670
		6.683364	110.229277
		6.708766	107.735402
		6.741856	105.418511
		6.722368	110.107906
		6.764003	110.071547
		6.786354	110.363095
		6.829354	103.777501
		6.825373	104.832792
		6.839934	110.485029
		6.867138	103.071532
		6.885260	109.553024
		6.905721	110.144289
		6.932998	102.743245
		6.925281	109.577033
		6.955421	106.632544
		6.972322	114.168284
		6.998393	106.010813
		7.021586	106.450926
		7.032151	110.424028
		7.067639	103.039670
		7.083580	110.023105
		7.081560	109.409190
		7.117135	106.791969
		7.140561	109.902187
		7.137102	109.541023
		7.168681	111.024759
		7.186584	113.999088
