"Im"	"0 Desc."	"Im"	"1 Asc."	"Im"	"2 All"
6.040039	82.829454	4.279433	22.319436	4.187926	0.000000
6.014826	81.953778	4.352715	27.541381	4.279433	22.319436
5.994515	82.216558	4.408510	36.865000	4.352715	27.541381
5.969638	80.677693	4.461491	33.509818	4.408510	36.865000
5.945626	79.567155	4.519603	36.321371	4.461491	33.509818
5.914905	75.614367	4.568621	41.767605	4.519603	36.321371
5.894227	81.473032	4.616490	45.645426	4.568621	41.767605
5.865851	75.585790	4.655400	46.626568	4.616490	45.645426
5.839317	77.429346	4.698010	47.787441	4.655400	46.626568
5.810882	76.745971	4.734602	52.778804	4.698010	47.787441
5.785648	72.301352	4.773702	53.149083	4.734602	52.778804
5.753608	74.123490	4.810176	56.856948	4.773702	53.149083
5.728064	74.934432	4.846117	57.172260	4.810176	56.856948
5.703013	71.464304	4.880971	54.611982	4.846117	57.172260
5.677044	74.482348	4.915322	57.369055	4.880971	54.611982
5.645117	72.721984	4.957192	57.783428	4.915322	57.369055
5.622250	73.757191	4.984773	60.455837	4.957192	57.783428
5.587773	72.280448	5.020093	59.790732	4.984773	60.455837
5.560152	69.744734	5.055759	62.107944	5.020093	59.790732
5.534773	72.280448	5.088018	63.071586	5.055759	62.107944
5.507972	67.159167	5.113442	64.474533	5.088018	63.071586
5.475157	70.042726	5.147553	66.124446	5.113442	64.474533
5.448195	67.631543	5.181003	62.798292	5.147553	66.124446
5.418227	63.363325	5.208186	66.414292	5.181003	62.798292
5.387361	66.925445	5.237445	68.264045	5.208186	66.414292
5.356693	64.901350	5.269927	67.686476	5.237445	68.264045
5.322285	63.783646	5.294256	70.224719	5.269927	67.686476
5.295284	62.371359	5.329452	69.420340	5.294256	70.224719
5.263614	62.050137	5.351904	71.133874	5.329452	69.420340
5.224119	57.680106	5.382671	70.101647	5.351904	71.133874
5.193125	57.323015	5.415827	68.502535	5.382671	70.101647
5.155215	57.981098	5.442181	71.581961	5.415827	68.502535
5.115366	54.033609	5.464315	72.811999	5.442181	71.581961
5.082735	53.458783	5.496430	71.999424	5.464315	72.811999
5.040301	49.390033	5.519321	74.013767	5.496430	71.999424
4.997039	49.046054	5.547689	80.295487	5.519321	74.013767
4.959122	48.697346	5.573770	71.694867	5.547689	80.295487
4.917407	51.007396	5.602490	77.905890	5.573770	71.694867
4.871242	41.741453	5.625940	73.491585	5.602490	77.905890
4.815439	39.877178	5.657787	75.374991	5.625940	73.491585
4.755623	32.870949	5.682701	76.722418	5.657787	75.374991
4.687432	29.043594	5.711596	79.308430	5.682701	76.722418
4.602470	25.066426	5.734847	78.302404	5.711596	79.308430
4.469365	14.281430	5.758032	81.506235	5.734847	78.302404
		5.785989	78.462142	5.758032	81.506235
		5.808523	79.352484	5.785989	78.462142
		5.832574	81.373586	5.808523	79.352484
		5.858696	83.787181	5.832574	81.373586
		5.879494	81.340491	5.858696	83.787181
		5.905771	82.074852	5.879494	81.340491
		5.925911	81.893375	5.905771	82.074852
		5.950434	81.947062	5.925911	81.893375
		5.979245	85.653105	5.950434	81.947062
		6.004086	80.437580	5.979245	85.653105
		6.027680	85.851648	6.004086	80.437580
		6.048874	83.977158	6.027680	85.851648
				6.048874	83.977158
				6.040039	82.829454
				6.014826	81.953778
				5.994515	82.216558
				5.969638	80.677693
				5.945626	79.567155
				5.914905	75.614367
				5.894227	81.473032
				5.865851	75.585790
				5.839317	77.429346
				5.810882	76.745971
				5.785648	72.301352
				5.753608	74.123490
				5.728064	74.934432
				5.703013	71.464304
				5.677044	74.482348
				5.645117	72.721984
				5.622250	73.757191
				5.587773	72.280448
				5.560152	69.744734
				5.534773	72.280448
				5.507972	67.159167
				5.475157	70.042726
				5.448195	67.631543
				5.418227	63.363325
				5.387361	66.925445
				5.356693	64.901350
				5.322285	63.783646
				5.295284	62.371359
				5.263614	62.050137
				5.224119	57.680106
				5.193125	57.323015
				5.155215	57.981098
				5.115366	54.033609
				5.082735	53.458783
				5.040301	49.390033
				4.997039	49.046054
				4.959122	48.697346
				4.917407	51.007396
				4.871242	41.741453
				4.815439	39.877178
				4.755623	32.870949
				4.687432	29.043594
				4.602470	25.066426
				4.469365	14.281430
