"Im"	"0 Desc."	"Im"	"1 Asc."
7.242911	160.849284	3.459705	47.634926
7.222464	136.481507	3.497881	56.766576
7.211289	160.436387	3.563160	49.202913
7.216448	151.377536	3.579276	59.031877
7.206595	146.348602	3.616580	64.201335
7.180568	148.367953	3.636416	64.193093
7.162243	162.206002	3.683704	67.073580
7.153131	147.885241	3.709542	70.254321
7.143511	148.214021	3.742995	70.348224
7.110145	162.074554	3.780154	67.055589
7.070022	152.998776	3.816107	73.789847
7.078247	146.907595	3.817836	73.909830
7.099885	162.258640	3.857233	81.906790
7.051406	148.060409	3.888928	77.688005
7.064558	158.831004	3.916481	73.860699
7.023853	138.677021	3.948146	81.906790
7.020467	148.279953	3.958348	73.866155
6.952137	148.831671	3.980408	98.338086
7.002796	158.679784	4.021374	81.967213
6.982233	148.875986	4.045991	92.421442
6.974894	147.623265	4.062108	92.072553
6.959040	163.612565	4.092305	86.941401
6.924090	136.369835	4.101984	86.873425
6.864624	167.224080	4.147775	92.199889
6.860264	144.969556	4.167495	92.250923
6.894662	161.498708	4.172392	92.259434
6.824355	137.324911	4.210597	98.386462
6.841373	146.821318	4.222645	86.888522
6.805216	148.279953	4.238688	98.386462
6.784653	147.362216	4.260457	98.338086
6.789376	147.950880	4.276792	98.434885
6.762419	147.928994	4.311901	98.309084
6.740984	146.950771	4.333845	98.444576
6.735200	148.279953	4.339062	98.463962
6.728530	134.916352	4.378110	98.357431
6.719593	161.420500	4.395839	105.429626
6.676941	125.897016	4.396697	105.429626
6.664937	160.000000	4.418858	98.415510
6.645421	148.942508	4.449623	105.396290
6.652905	134.318334	4.463516	98.541585
6.611764	147.297098	4.500093	98.425197
6.633533	148.942508	4.502927	113.365832
6.599194	134.408602	4.546872	113.533152
6.577047	146.327188	4.553877	98.434885
6.578267	135.208221	4.576024	113.481616
6.539655	147.253718	4.575660	105.429626
6.554929	135.189942	4.612267	113.610543
6.554812	147.601476	4.627133	98.483356
6.516520	133.440085	4.662127	113.430127
6.511274	148.456057	4.668870	113.533152
6.514675	133.725595	4.675903	105.496360
6.482835	134.354427	4.708165	113.494496
6.471456	134.989201	4.722813	113.455866
6.435460	146.348602	4.741908	123.107226
6.460499	134.571390	4.744757	105.407400
6.410697	133.815068	4.765247	113.636364
6.424081	134.970981	4.797392	105.440742
6.397516	133.994372	4.809178	122.986103
6.390032	134.030291	4.809803	113.468739
6.367028	134.318334	4.842922	105.485232
6.368989	123.563573	4.864923	134.048257
6.333080	147.015584	4.879107	122.940743
6.341771	123.731750	4.899437	113.649278
6.318955	133.940530	4.923808	123.001230
6.295704	134.138162	4.915277	113.636364
6.282610	123.183050	4.950925	113.468739
6.276172	134.120172	4.953163	122.970979
6.266930	133.940530	4.984712	123.031496
6.211461	123.243776	4.999288	113.610543
6.228580	134.228188	5.017221	122.895416
6.190680	123.001230	5.024167	123.001230
6.196609	134.048257	5.060730	123.076923
6.171701	123.487281	5.063782	113.649278
6.145528	133.707715	5.085144	122.865217
6.168038	123.304562	5.101362	134.102186
6.137143	122.940743	5.120457	123.046635
6.102760	133.976420	5.141761	122.986103
6.103705	123.578843	5.154448	134.120172
6.080598	122.684333	5.168413	113.688040
6.072722	123.167878	5.186608	122.986103
6.031421	133.743480	5.203421	122.970979
6.049659	122.880315	5.231803	134.192163
6.022106	123.639960	5.231483	123.107226
5.999305	122.609122	5.251741	122.940743
5.982027	123.092073	5.274862	134.066229
5.957002	123.061777	5.280355	123.076923
5.939331	122.684333	5.295207	134.156158
5.937267	123.243776	5.317325	123.031496
5.917170	123.031496	5.326611	123.092073
5.903117	113.765643	5.353495	134.174158
5.880824	123.046635	5.360863	134.066229
5.875026	122.714443	5.405244	134.336378
5.842779	113.700966	5.389724	134.138162
5.827448	122.850123	5.405114	134.084205
5.799037	113.688040	5.446312	123.213406
5.807132	105.708245	5.437419	134.120172
5.779172	133.779264	5.460438	134.138162
5.762925	105.685902	5.463039	134.156158
5.740531	122.850123	5.499282	134.156158
5.724734	113.571834	5.524059	134.282261
5.694260	113.610543	5.525629	147.557916
5.686021	113.340134	5.526065	134.138162
5.677563	113.546043	5.562759	134.174158
5.667158	105.708245	5.559097	147.819660
5.650780	113.468739	5.610395	134.156158
5.608637	113.507378	5.600964	134.066229
5.576811	105.407400	5.620858	147.732309
5.560288	113.442995	5.632746	123.001230
5.553531	98.619329	5.643848	134.192163
5.534973	113.494496	5.657770	147.557916
5.520804	113.430127	5.690279	134.192163
5.503714	105.351875	5.688477	147.601476
5.472310	98.502758	5.706409	134.264232
5.445411	105.518624	5.727234	147.579693
5.434817	105.407400	5.730416	134.228188
5.433495	105.429626	5.743437	147.645061
5.392442	98.405826	5.771107	147.557916
5.375090	105.351875	5.781163	147.688672
5.354890	105.563180	5.822463	134.102186
5.327962	105.274239	5.831154	147.557916
5.310654	98.512462	5.841849	147.688672
5.303868	98.473658	5.841079	147.579693
5.288420	105.385183	5.849580	134.174158
5.231905	92.276460	5.860814	147.666864
5.228504	98.318749	5.884705	147.645061
5.196417	98.434885	5.905820	147.623265
5.196213	98.454268	5.929246	147.601476
5.164039	92.225399	5.926543	147.514383
5.143840	98.434885	5.926746	134.174158
5.109921	92.208391	5.960388	164.176654
