"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
71.96814	0	13.680	246.542
71.96814	0	13.602	246.715
71.96815	0	13.521	246.922
71.96816	0	13.531	246.947
71.96818	0	13.496	247.025
71.96818	0	13.445	247.232
71.96819	0	13.585	247.440
71.96820	0	12.630	247.334
71.96822	0	4.385	224.954
71.96822	0	-0.212	131.929
71.96823	0	-0.085	26.874
71.96824	0	-0.266	5.338
71.96825	0	0.104	5.641
71.96827	0	0.203	5.006
71.96827	0	0.111	4.309
71.96828	0	0.139	3.635
71.96829	0	0.027	3.329
71.96831	1	0.130	2.968
71.96831	0	0.064	2.415
71.96832	0	0.085	2.600
71.96833	0	0.037	2.213
71.96834	0	0.095	1.973
71.96836	0	0.119	1.718
71.96836	0	0.090	1.773
71.96837	0	0.093	1.566
71.96838	0	0.217	1.494
71.96840	0	-0.017	1.448
71.96840	0	0.124	1.129
71.96841	0	0.241	0.845
71.96842	0	-0.047	0.835
71.96843	0	0.098	0.656
71.96845	0	0.262	0.667
71.96845	0	0.023	0.397
71.96846	0	0.090	0.240
71.96847	0	0.076	0.237
71.96849	0	0.090	0.339
71.96849	0	0.218	0.005
71.96850	0	0.243	0.081
71.96851	0	0.105	-0.098
71.96853	0	0.200	-0.363
71.96854	0	-0.044	-0.456
71.96854	0	0.104	-0.261
71.96855	0	0.101	-0.256
71.96856	0	0.313	-0.531
71.96858	0	0.224	-0.899
71.96858	0	0.052	-0.771
71.96859	0	0.102	-1.062
71.96860	0	0.072	-0.819
71.96862	0	0.168	-0.858
71.96863	0	0.134	-1.175
71.96863	0	-0.140	-1.164
71.96864	0	0.111	-1.224
71.96865	0	0.146	-0.871
71.96867	0	0.095	-1.056
71.96867	0	0.125	-1.363
71.96868	0	0.140	-1.521
71.96869	0	0.034	-1.599
71.96871	0	0.069	-1.396
71.96872	0	0.139	-1.096
71.96872	0	0.151	-1.463
71.96873	0	0.162	-1.936
71.96874	0	0.366	-1.927
71.96876	0	0.215	-1.904
71.96876	0	0.078	-2.098
71.96877	0	-0.032	-2.156
71.96878	0	0.078	-2.176
71.96880	0	-0.034	-2.188
71.96881	1	0.096	-2.245
