"Time"	"6 SampleCl"	"5 I1 cont"	"3 Monitor"
71.96683	1	0.012	-3.343
71.96684	0	0.119	-3.084
71.96684	0	0.090	-3.120
71.96685	0	0.070	-3.262
71.96686	0	0.031	-3.362
71.96688	0	0.148	-3.615
71.96688	0	-0.043	-3.589
71.96689	0	-0.108	-3.810
71.96690	0	0.273	-3.419
71.96692	0	1.331	-3.313
71.96693	0	12.392	22.897
71.96693	0	14.020	124.718
71.96694	0	13.672	227.135
71.96695	0	13.297	245.049
71.96697	0	13.591	243.753
71.96697	0	13.300	244.173
71.96698	0	13.516	244.478
71.96699	0	13.486	244.977
71.96701	0	13.457	245.441
71.96702	0	13.458	245.285
71.96702	0	13.593	245.168
71.96703	0	13.560	245.277
71.96704	0	13.522	245.157
71.96706	0	13.550	245.485
71.96706	0	13.547	245.380
71.96707	0	13.510	245.268
71.96708	0	13.446	245.439
71.96710	0	13.605	245.560
71.96711	0	13.553	245.625
71.96711	0	13.576	245.557
71.96712	0	13.530	245.625
71.96713	0	13.498	245.609
71.96715	0	13.579	245.618
71.96715	0	13.571	245.789
71.96716	0	13.615	245.647
71.96717	0	13.525	245.256
71.96719	0	13.565	245.323
71.96720	0	13.440	245.886
71.96720	0	13.545	246.065
71.96721	0	12.155	245.918
71.96722	0	-0.003	210.156
71.96724	0	-0.142	94.724
71.96724	0	0.087	14.278
71.96725	0	0.052	4.605
71.96726	0	0.105	5.334
71.96728	0	0.092	4.129
71.96728	0	0.105	3.340
71.96729	0	0.227	2.991
71.96730	0	0.201	2.855
71.96731	1	0.090	2.225
71.96733	0	0.082	1.988
71.96733	0	0.130	1.671
71.96734	0	0.061	1.450
71.96735	0	0.041	1.506
71.96737	0	-0.122	1.137
71.96737	0	0.018	0.700
71.96738	0	0.063	1.035
71.96739	0	0.203	0.928
71.96740	0	0.114	0.719
71.96742	0	0.175	0.626
71.96742	0	0.107	0.618
71.96743	0	0.114	0.223
71.96744	0	0.177	-0.076
71.96746	0	0.116	-0.182
71.96746	0	0.066	-0.468
71.96747	0	0.104	-0.500
71.96748	0	0.058	-0.287
71.96750	0	-0.085	-0.233
71.96751	0	0.104	-0.513
71.96751	0	0.078	-0.636
71.96752	0	0.092	-0.616
71.96753	0	0.099	-0.728
71.96755	0	0.166	-1.047
71.96755	0	0.134	-1.160
71.96756	0	-0.017	-1.410
71.96757	0	0.107	-1.495
71.96759	0	0.111	-1.491
71.96760	0	0.150	-1.361
71.96760	0	0.117	-1.198
71.96761	0	0.067	-1.506
71.96762	0	0.014	-1.707
71.96764	0	0.255	-1.898
71.96764	0	0.076	-1.866
71.96765	0	0.090	-2.022
71.96766	0	0.203	-1.839
71.96768	0	0.108	-1.923
71.96769	0	0.125	-2.193
71.96769	0	0.148	-2.185
71.96770	0	0.108	-2.464
71.96771	0	0.121	-2.467
71.96773	0	0.131	-2.304
71.96773	0	0.369	-2.298
71.96774	0	0.493	-2.528
71.96775	0	0.151	-2.504
71.96777	0	0.389	-2.504
71.96778	0	0.185	-2.707
71.96778	0	0.204	-2.892
71.96779	0	0.221	-2.711
71.96780	0	-0.098	-2.837
71.96782	1	0.114	-2.692
71.96782	0	0.043	-2.786
71.96783	0	0.037	-2.986
71.96784	0	0.230	-3.297
71.96786	0	0.224	-2.933
71.96787	0	0.053	-2.747
71.96787	0	0.136	-3.033
71.96788	0	0.243	-3.246
71.96789	0	0.082	-3.300
71.96791	0	0.009	-3.223
71.96791	0	1.491	9.909
71.96792	0	14.059	87.227
71.96793	0	13.818	210.689
71.96795	0	13.614	245.375
71.96796	0	13.506	245.564
71.96796	0	13.510	245.369
71.96797	0	13.423	246.201
71.96798	0	13.405	245.782
71.96800	0	13.597	245.937
71.96800	0	13.472	246.301
71.96801	0	13.454	246.333
71.96802	0	13.434	246.169
71.96804	0	13.614	246.124
71.96805	0	13.503	245.816
71.96805	0	13.484	246.126
71.96806	0	13.452	246.022
71.96807	0	13.536	245.734
71.96809	0	13.577	245.941
71.96809	0	13.773	245.906
71.96810	0	13.335	246.400
71.96811	0	13.583	246.513
71.96813	0	13.495	246.399
